LotArea,BsmtQual,TotalBsmtSF,2ndFlrSF,Yearinterval,TotRmsAbvGrd,GarageArea,SalePrice
8450,1,856,854,5,8,548,208500
9600,1,1262,0,31,6,460,181500
11250,1,920,866,7,6,608,223500
9550,0,756,756,91,7,642,140000
14260,1,1145,1053,8,9,836,250000
14115,1,796,566,16,5,480,143000
10084,1,1686,0,3,7,636,307000
10382,1,1107,983,36,7,484,200000
6120,0,952,752,77,8,468,129900
7420,0,991,0,69,5,205,118000
11200,0,1040,0,43,5,384,129500
11924,1,1175,1142,1,11,736,345000
12968,0,912,0,46,4,352,144000
10652,1,1494,0,1,7,840,279500
10920,0,1253,0,48,5,352,157000
6120,0,832,0,78,5,576,132000
11241,0,1004,0,40,5,480,149000
10791,0,0,0,39,6,516,90000
13695,0,1114,0,4,6,576,159000
7560,0,1029,0,51,6,294,139000
14215,1,1158,1218,1,9,853,325300
7449,0,637,0,77,6,280,139400
9742,1,1777,0,6,7,534,230000
4224,1,1040,0,31,6,572,129900
8246,0,1060,0,42,6,270,154000
14230,1,1566,0,2,7,890,256300
7200,0,900,0,59,5,576,134800
11478,1,1704,0,3,7,772,306000
16321,0,1484,0,49,6,319,207500
6324,0,520,0,81,4,240,68500
8500,0,649,668,88,6,250,40000
8544,0,1228,0,42,6,271,149350
11049,1,1234,0,1,7,484,179900
10552,0,1398,0,51,6,447,165500
7313,1,1561,0,2,6,556,277500
13418,1,1117,1320,2,9,691,309000
10859,1,1097,0,15,6,672,145000
8532,0,1297,0,55,5,498,153000
7922,0,1057,0,57,5,246,109000
6040,0,0,0,53,6,0,82000
8658,0,1088,0,41,6,440,160000
16905,0,1350,0,48,5,308,170000
9180,1,840,0,24,5,504,144000
9200,1,938,0,33,5,308,130250
7945,0,1150,0,47,6,300,141000
7658,1,1752,0,5,6,576,319900
12822,1,1434,631,6,6,670,239686
11096,1,1656,0,1,7,826,249700
4456,0,736,716,89,8,0,113000
7742,0,955,0,41,6,386,127000
13869,1,794,676,10,6,388,177000
6240,0,816,0,72,6,528,114500
8472,1,816,0,47,5,516,110000
50271,1,1842,0,25,5,894,385000
7134,0,384,0,52,6,572,130000
10175,0,1425,0,44,7,576,180500
2645,1,970,756,10,7,480,172500
11645,1,860,860,2,7,565,196500
13682,1,1410,1519,0,10,641,438780
7200,0,780,0,36,4,352,124900
13072,1,1158,0,2,5,576,158000
7200,0,530,530,87,6,288,101000
6442,1,1370,0,1,6,484,202500
10300,0,576,808,89,9,480,140000
9375,1,1057,977,12,8,645,219500
9591,1,1143,1330,3,9,852,317000
19900,1,1947,0,40,7,576,180000
10665,1,1453,0,4,7,558,226000
4608,0,747,0,65,4,220,80000
15593,0,1304,983,53,7,667,225000
13651,1,2223,0,34,8,516,244000
7599,0,845,0,25,4,360,129500
10141,1,832,833,11,7,427,185000
10200,0,1086,0,56,6,490,144900
5790,0,840,765,95,8,379,107400
1596,1,462,462,36,5,297,91000
8475,0,952,0,52,4,283,135750
8635,0,672,213,60,6,240,127000
10778,0,1768,0,42,8,0,136500
10440,0,440,548,99,5,440,110000
13000,1,896,960,41,8,509,193500
4500,1,1237,0,8,5,405,153500
10206,1,1563,0,1,6,758,245000
8892,0,1065,0,47,6,461,126500
8530,1,384,670,14,7,400,168500
16059,1,1288,1116,15,9,462,260000
11911,1,684,876,4,6,400,174000
3951,1,612,612,0,4,528,164500
8470,0,1013,0,94,6,0,85000
8070,1,990,0,13,5,0,123600
7200,0,0,0,56,4,420,109900
8500,0,1235,0,45,6,480,98600
13360,1,876,0,88,5,432,163500
7200,0,1214,1031,97,9,506,133900
9337,1,824,881,10,7,684,204750
9765,1,680,790,16,6,420,185000
10264,1,1588,0,7,6,472,214000
10921,0,960,0,42,6,432,94750
10625,0,458,0,90,5,366,83000
9320,0,950,0,51,6,0,128950
10603,0,1610,0,33,6,480,205000
9206,1,741,755,25,7,476,178000
7018,0,0,0,30,8,410,118964
10402,1,1226,0,1,6,740,198900
7758,0,1040,592,76,7,240,169500
9375,1,1053,939,5,9,648,250000
10800,0,641,0,122,6,273,100000
6000,0,789,0,60,5,250,115000
8500,0,793,520,88,7,0,115000
11751,1,1844,0,33,7,546,190000
9525,0,994,639,52,7,325,136900
7750,1,384,656,10,7,400,180000
9965,1,1264,1414,0,10,792,383970
21000,1,1809,0,54,7,450,217000
7259,0,1028,884,62,9,180,259500
3230,1,729,729,8,5,440,176000
11616,0,1092,0,47,6,288,139000
8536,1,1125,0,1,5,430,155000
12376,1,1673,1523,20,11,594,320000
8461,1,728,728,1,8,390,163990
21453,0,938,0,37,4,540,180000
6060,0,732,351,68,4,264,100000
9464,0,1080,0,50,5,288,136000
7892,1,1199,0,15,5,530,153900
17043,1,1362,0,30,7,435,181000
6780,0,520,0,71,5,0,84500
4928,1,1078,0,31,5,440,128000
4388,0,672,0,77,5,0,87000
7590,0,660,688,40,6,453,155000
8973,0,1008,0,48,6,750,150000
14200,0,924,941,40,8,487,226000
12224,1,992,1032,9,7,390,244000
7388,0,1063,0,48,7,624,150750
6853,1,1267,0,8,6,471,220000
10335,0,1461,0,38,7,440,180000
10400,0,1304,0,38,7,530,174000
10355,0,1214,0,40,5,318,143000
11070,0,1907,0,18,9,766,171000
9066,1,1004,848,9,7,660,230000
15426,1,928,836,12,7,470,231500
10500,0,864,0,39,5,0,115000
11645,1,1734,0,1,7,660,260000
8520,0,910,475,58,6,720,166000
10335,1,1490,0,10,6,577,204000
9100,0,1728,0,43,10,504,125000
2522,1,970,739,2,7,380,130000
6120,0,715,0,78,5,180,105000
9505,1,884,1151,9,8,434,222500
7500,1,1080,0,4,6,0,141000
6240,1,896,448,70,7,240,115000
10356,0,969,0,32,5,440,122000
13891,1,1710,0,1,6,866,372402
14803,0,825,896,35,8,495,190000
13500,1,1602,0,48,4,564,235000
11340,0,1200,0,83,7,312,125000
9600,0,572,524,84,5,0,79000
7200,0,0,0,56,5,625,109500
12003,1,774,1194,1,8,680,269500
12552,1,991,956,6,8,678,254900
19378,1,1392,1070,1,9,576,320000
11120,1,1232,0,24,6,516,162500
13688,1,1572,1096,5,10,726,412500
12182,1,1541,0,5,7,532,220000
5500,0,882,0,51,4,0,103200
5400,0,1149,467,81,5,216,152000
10106,0,644,547,68,6,0,127500
10708,0,1617,0,54,7,303,190000
10562,1,1582,551,0,8,789,325624
8244,1,840,880,3,7,440,183500
16669,1,1686,0,25,6,511,228000
12358,0,720,0,66,7,660,128500
31770,0,1080,0,50,7,528,215000
5306,1,1064,703,19,5,504,239000
10197,0,1362,0,47,6,504,163000
12416,1,1606,0,22,7,616,184000
12615,0,1202,0,57,7,576,243000
10029,1,1151,896,19,8,521,211000
13650,0,1052,668,48,8,451,172500
17423,1,2216,0,1,9,1166,501837
8520,0,968,0,84,5,480,100000
2117,1,756,756,7,5,440,177000
7588,0,793,901,86,9,216,200100
9060,0,0,0,50,7,252,120000
11426,1,1362,720,5,6,484,200000
7438,0,504,316,98,5,576,127000
22950,0,1107,1518,114,12,840,475000
9947,1,1188,0,19,6,497,173000
10410,0,660,704,93,8,180,135000
7018,1,1086,0,30,6,528,153337
4923,1,1593,0,7,5,682,286000
10570,1,853,1178,75,10,440,315000
7472,0,725,754,35,7,484,184000
9017,1,1431,0,10,6,666,192000
2522,1,970,739,2,7,380,130000
7180,0,864,0,36,5,352,127000
2280,1,855,601,33,7,440,148500
9416,1,1726,0,0,8,786,311872
25419,0,1360,1360,88,8,795,235000
5520,0,755,929,97,8,0,104000
9591,1,1713,0,5,7,856,274900
8546,1,1121,0,7,5,440,140000
10125,0,1196,0,31,6,473,171500
7000,0,617,445,82,6,398,112000
4438,1,848,0,4,3,420,149000
3500,0,720,564,62,5,240,110000
11851,1,1424,0,19,5,500,180500
13673,0,1140,0,45,8,349,143900
12493,0,1100,0,48,6,312,141000
14364,1,1157,882,19,7,454,277000
8250,1,1092,0,44,6,504,145000
5604,0,864,0,83,5,0,98000
10420,1,1212,0,1,6,460,186000
8640,1,900,920,0,7,644,252678
13568,1,990,0,11,5,576,156000
10900,1,689,703,33,6,299,161750
10011,0,1070,0,49,6,447,134450
8450,1,1436,0,4,8,484,210000
9906,0,686,518,81,8,210,107000
15660,0,798,817,69,8,431,311500
3010,1,1248,0,1,5,438,167240
8990,1,1498,0,0,5,675,204900
8068,1,1010,1257,7,8,390,200000
11475,1,713,741,31,6,434,179900
10500,0,864,0,38,4,576,97000
13472,1,2392,0,6,8,968,386250
1680,0,630,672,38,6,280,112000
9950,1,1203,1306,12,9,721,290000
1869,0,483,504,38,5,280,106000
8521,0,912,0,43,5,336,125000
3182,1,1373,0,4,7,430,192500
8760,0,1194,0,51,6,312,148000
15138,1,1462,1304,14,9,810,403000
1680,0,483,504,34,5,288,94500
10650,0,894,0,34,5,308,128200
7851,1,860,1100,8,8,440,216500
1680,0,483,504,37,5,264,89500
8773,1,1414,0,6,6,494,185500
9453,1,996,730,17,7,457,194500
12030,1,1694,0,0,7,818,318000
8741,0,735,689,65,7,220,113000
9000,1,1566,0,2,7,750,262500
3880,0,686,0,62,4,0,110500
5000,0,540,551,106,6,352,79000
10762,1,626,591,29,6,288,120000
8880,1,948,888,16,8,463,205000
10400,1,1845,0,18,6,604,241500
9142,0,1020,1020,96,9,440,137000
11310,0,1367,0,52,5,451,140000
11317,1,840,828,4,8,500,180000
159000,1,1444,700,49,7,389,277000
5350,0,728,0,70,6,0,76500
4750,1,1573,0,1,5,538,235000
8366,1,798,842,4,6,520,173000
9350,1,1302,0,43,7,309,158000
8400,0,1314,0,53,5,294,145000
8738,1,975,1286,7,8,429,230000
8791,1,864,864,5,7,673,207500
8814,1,1604,0,3,8,660,220000
12435,1,963,829,7,7,564,231500
12702,0,0,0,52,4,308,97000
19296,0,1362,0,47,6,884,176000
9588,1,1482,1092,0,10,868,276000
8471,1,506,0,29,6,492,151000
5500,0,926,0,81,6,484,130000
5232,0,680,0,83,4,504,73000
12090,1,1422,0,27,7,576,175500
11207,1,802,709,9,8,413,185000
8400,0,720,720,69,8,240,179500
6900,0,740,0,68,4,924,120500
7917,0,1143,0,31,6,504,148000
10728,1,1095,844,0,8,1053,266000
39104,1,1385,0,54,5,439,241500
11764,1,1152,1106,11,9,671,290000
9600,0,1240,0,51,6,338,139000
8314,0,816,0,25,5,264,124500
7264,0,952,596,84,5,672,205000
9196,1,1560,0,7,7,573,201000
19138,0,864,0,59,4,400,141000
14450,1,2121,0,1,8,732,415298
10005,1,1160,866,31,8,505,192000
11287,1,807,807,18,7,575,228500
7200,1,1262,0,0,5,572,185000
5063,1,1314,0,2,6,626,207500
9612,1,1468,0,1,6,898,244600
8012,1,1575,0,15,5,529,179200
4251,1,625,625,1,5,528,164700
9786,0,912,649,44,7,440,159000
8125,0,858,0,35,5,0,88000
9819,0,882,0,43,5,280,122000
8730,0,698,698,92,7,384,153575
15611,1,1079,840,0,8,685,233230
5687,0,780,780,96,9,0,135900
11409,0,768,568,60,8,281,131000
16659,0,795,795,29,9,539,235000
9600,0,1416,0,56,7,418,167000
7937,0,1003,0,22,6,588,142500
13710,0,910,648,57,6,282,152000
7399,1,975,975,10,7,576,239000
11700,0,702,702,39,7,539,175000
14000,0,1092,0,59,6,300,158500
15750,0,1165,0,53,5,375,157000
16226,1,1028,1242,9,9,683,267000
13704,1,1541,0,5,6,843,205000
9800,0,894,0,34,5,552,149900
18386,0,1470,1818,128,10,870,295000
10386,1,2000,0,3,8,888,305900
13474,1,700,1121,17,8,746,225000
7920,0,319,371,88,6,0,89500
12342,0,861,0,69,4,539,82500
12378,1,1896,0,3,8,708,360000
7685,1,697,804,13,6,420,165600
8000,0,972,0,61,5,240,132000
7800,1,793,325,67,5,410,119900
215245,1,2136,0,44,8,513,375000
9600,0,728,809,81,6,546,178000
7795,1,716,716,5,6,432,188500
13005,1,845,1200,29,10,484,260000
9000,1,1088,871,1,8,1025,270000
9900,1,1347,1274,16,9,656,260000
14115,1,1372,0,29,6,588,187500
16259,1,1249,1347,0,9,840,342643
12099,1,1136,1332,3,10,872,354000
10380,0,1502,1177,21,8,576,301000
5820,0,1162,0,51,6,220,126175
11275,1,710,1080,43,11,564,242000
5000,0,720,0,66,5,360,87000
10846,1,1719,0,15,6,473,324000
11600,0,1383,0,46,7,292,145250
11888,0,844,689,93,10,441,214500
6402,0,596,596,89,6,189,78000
10624,0,1728,0,43,10,352,119000
8176,0,1056,0,49,6,308,139000
10655,1,3206,0,6,7,880,284000
8198,1,1358,0,4,6,484,207000
9042,1,943,695,10,7,472,192000
164660,0,1499,167,43,7,529,228950
14157,1,1922,0,2,8,676,377426
9135,1,1536,0,6,7,532,214000
14145,1,1208,0,22,8,440,202500
12400,0,1215,0,51,6,297,155000
14191,1,967,915,8,9,431,202900
8400,0,721,0,59,4,294,82000
8544,0,0,0,57,6,400,87500
8849,1,1684,0,3,6,564,266000
2592,1,536,576,34,4,336,85000
6435,0,972,605,67,6,312,140200
12772,0,958,0,47,5,301,151500
17600,0,1478,0,49,6,498,157500
2448,1,764,862,5,6,474,154000
20431,1,1848,880,1,10,706,437154
7820,1,1869,0,0,6,617,318061
5271,1,1453,0,20,6,445,190000
9084,0,616,495,67,5,200,95000
8520,0,624,0,82,5,484,105900
8400,0,940,403,66,6,240,140000
11249,1,1200,0,12,6,521,177500
9248,1,1158,0,17,6,400,173000
4224,1,1142,0,31,6,528,134000
6930,0,1062,0,48,6,288,130000
12011,1,1086,838,8,7,592,280000
7540,1,888,0,29,5,470,156000
9144,0,883,517,68,8,240,145000
7301,0,0,1427,6,7,672,198500
1680,0,483,504,37,5,264,118000
18800,1,796,784,30,6,566,190000
10690,0,672,672,89,6,468,147000
9500,1,1394,0,46,6,514,159000
9150,1,1099,0,46,6,296,165000
7800,0,1268,0,56,7,244,132000
9830,0,1063,0,51,7,576,162000
8121,1,953,711,6,7,460,172400
17120,0,0,468,49,7,680,134432
7175,1,744,0,26,4,264,125000
10634,0,608,0,56,5,270,123000
8200,1,847,1081,4,8,434,219500
10020,0,683,0,87,4,0,61000
8846,1,870,0,10,5,576,148000
11143,1,1580,886,3,8,610,340000
11394,1,1856,0,0,8,834,394432
8123,1,982,793,9,7,463,179000
5000,0,1026,665,86,6,308,127000
7200,1,1293,0,0,5,572,187750
9245,1,939,858,1,8,639,213500
9000,0,784,0,81,5,360,76000
53107,1,1580,874,15,9,501,240000
3182,1,1256,0,6,6,430,192000
8410,0,658,526,96,8,0,81000
7200,0,1041,0,33,6,352,125000
9382,1,1468,0,9,6,577,191000
12474,1,1682,590,1,9,846,426000
8405,0,861,406,108,7,384,119000
12209,1,804,1157,8,7,560,215000
8339,0,0,0,48,5,294,106500
7446,0,788,0,65,4,0,100000
10134,0,735,299,67,5,240,109000
9571,0,1144,0,54,6,596,129000
7200,0,894,0,37,6,600,123000
7590,0,864,936,45,8,264,169500
8967,0,961,0,87,6,338,67000
8125,1,1092,438,3,7,438,241000
14963,1,1260,0,12,4,500,245500
8767,1,1310,0,1,6,400,164990
10200,0,672,0,68,4,240,108000
12090,1,1141,1098,8,10,420,258000
10364,1,806,766,12,7,373,168000
9991,0,1281,0,33,8,490,150000
10480,0,1064,0,72,6,240,115000
15576,1,840,840,93,8,308,177000
14154,1,1063,1101,1,9,947,280000
10800,1,1034,1028,1,8,836,339750
9571,0,1276,0,51,5,350,60000
34650,0,1056,0,51,5,572,145000
4403,1,1470,0,1,7,484,222000
8960,0,1008,0,83,5,360,115000
11228,1,1080,1017,15,9,678,228000
8899,1,1340,0,0,6,396,181134
7844,0,672,728,28,6,440,149500
22420,1,1370,1254,89,10,864,239000
8160,0,756,378,67,7,240,126000
8450,0,1056,0,42,6,304,142000
7060,1,1344,0,11,8,784,206300
16635,1,1602,0,32,8,529,215000
21750,0,988,0,54,4,520,113000
9200,1,1470,1160,10,8,696,315000
9000,1,1196,0,52,6,297,139000
3378,0,651,682,63,6,240,135000
12800,1,1518,0,20,5,569,275000
8593,0,907,0,51,5,352,109008
6762,1,1208,0,0,6,628,195400
11457,1,1392,0,21,6,576,175000
1680,0,483,504,37,4,264,85400
5586,0,901,110,88,7,0,79900
1920,0,765,600,36,6,440,122500
10839,1,926,678,11,7,470,181000
1890,1,630,0,36,3,0,81000
10667,1,799,834,13,6,550,212000
4400,0,648,384,86,6,440,116000
6000,0,884,0,83,4,180,119000
4280,0,440,0,94,4,352,90350
12354,0,684,512,89,7,528,110000
15431,1,3094,0,1,10,672,555000
12108,0,1440,0,53,8,0,118000
6240,0,1078,445,78,8,360,162900
3922,1,1258,0,1,6,648,172500
8750,1,915,975,14,8,493,210000
9855,0,1436,0,53,7,480,127500
16492,0,1517,0,44,6,578,190000
11214,1,930,930,8,10,431,199900
8600,0,780,596,69,7,198,119500
6000,0,649,504,59,6,308,120000
5684,0,813,0,76,5,270,110000
70761,1,1533,0,31,5,576,280000
9303,1,872,868,11,7,422,204000
9000,1,768,804,1,6,676,210000
9297,0,1728,0,30,8,560,188000
9600,0,1242,0,34,6,528,175500
4571,0,624,720,92,7,513,98000
53227,1,1364,0,54,6,529,256000
5100,0,588,833,83,7,228,161000
7015,0,709,224,59,5,352,110000
8004,1,832,1103,0,8,552,263435
7200,1,560,560,73,6,576,155000
8281,0,864,0,44,5,360,62383
11988,0,715,811,74,6,240,188700
8430,1,1040,0,31,5,0,124000
3072,1,1375,0,2,6,398,178740
10628,0,1277,0,37,5,526,167000
9480,0,728,756,65,7,312,146500
11428,1,1626,0,1,7,866,250000
9291,1,832,878,15,7,506,187000
6820,1,1488,0,25,4,528,212000
11952,1,808,808,30,8,534,190000
3675,1,547,0,3,5,525,148000
14977,1,1976,0,1,7,908,440000
5330,1,1494,0,7,6,499,251000
8480,0,970,0,44,5,624,132500
13125,1,1478,0,11,7,508,208900
13693,1,2153,574,1,9,694,380000
10637,1,1705,0,2,7,826,297000
5925,0,907,0,70,7,672,89471
16033,1,1833,0,2,8,772,326000
11846,1,1792,0,3,6,874,374000
2500,0,910,910,94,7,164,155000
4500,1,1216,0,8,5,402,164000
7758,0,999,0,45,6,264,132500
9600,0,1113,0,59,5,264,147000
10289,0,1073,0,42,6,515,156000
12243,1,1484,0,36,7,487,175000
10800,0,954,648,106,10,520,160000
1526,1,630,0,39,3,286,86000
2665,1,264,688,32,4,336,115000
9490,0,806,620,65,5,240,133000
15578,1,728,728,0,8,429,172785
7931,0,1269,0,48,6,308,155000
5784,0,190,0,71,4,273,91300
7879,0,720,0,89,4,0,34900
12692,1,3200,0,15,10,546,430000
9120,0,1026,687,83,8,240,184000
7800,0,864,0,42,5,288,130000
7535,0,912,0,49,5,297,120000
1890,0,672,546,34,7,264,113000
9803,1,866,902,3,7,603,226700
9170,0,1214,0,42,6,461,140000
15602,0,1501,0,51,6,484,289000
2308,0,855,467,35,6,440,147000
7596,0,960,1000,57,10,400,124500
9554,1,777,846,13,8,471,215000
7862,1,1218,0,0,4,676,208300
9600,0,689,689,80,7,360,161000
9600,0,1041,0,50,6,270,124500
14559,0,1008,0,58,6,288,164900
6792,1,1368,0,1,6,474,202665
9100,0,864,0,48,5,624,129900
9187,0,1084,0,24,5,484,134000
10594,0,768,0,81,5,200,96500
12220,1,2006,0,0,9,900,402861
10448,0,689,741,37,7,583,158000
10208,1,1264,1067,13,7,889,265000
9531,1,794,914,9,7,546,211000
10918,1,1276,804,83,9,282,234000
10800,0,0,600,108,7,0,106250
11988,0,1244,0,50,6,336,150000
5000,0,1004,660,59,7,420,159000
40094,1,3138,1538,0,11,884,184750
11787,1,1379,1015,11,8,834,315750
7500,1,1257,0,1,6,453,176000
13300,1,928,0,51,4,252,132000
14948,1,1452,1237,0,11,858,446261
9098,0,528,0,87,5,0,86000
32668,0,2035,0,50,9,484,200624
10200,1,1461,0,20,5,600,175000
6155,0,611,611,88,6,502,128000
7200,0,0,0,55,5,392,107500
5000,0,0,0,61,2,0,39300
9056,1,707,707,2,6,403,178000
7000,1,1117,527,98,5,0,107500
8924,1,880,844,10,8,527,188000
12735,0,864,0,36,5,576,111250
11553,0,1051,0,38,7,336,158000
11423,1,1581,0,9,6,670,272000
14601,1,1838,0,3,8,765,315000
11000,1,969,1288,7,8,648,248000
10140,1,1650,0,11,7,583,213250
4058,1,723,0,9,4,367,133000
17104,1,654,832,0,7,426,179665
13837,1,1204,806,18,9,786,229000
8737,1,1065,720,84,6,440,210000
7244,1,768,0,37,5,624,129500
8235,0,825,0,53,4,720,125000
9375,1,912,1182,6,8,615,263000
4043,1,1069,0,31,4,440,140000
6000,0,928,0,51,5,288,112500
11146,1,1709,0,3,7,908,255500
8777,0,0,0,60,5,520,108000
10625,1,998,1040,5,8,871,284000
6380,0,993,0,84,5,280,113000
14850,0,1092,0,49,6,299,141000
11040,0,637,439,86,7,570,108000
21872,1,729,717,12,6,406,175000
3196,1,1374,0,3,7,420,234000
11341,1,1392,0,53,5,528,121500
10010,1,1389,0,32,6,418,170000
13907,0,996,0,68,6,0,108000
21780,1,1163,511,90,8,396,185000
13346,1,1095,1129,14,9,590,268000
6858,1,806,806,95,6,216,128000
11198,1,1122,1370,3,11,656,325000
10171,1,1517,0,6,7,532,214000
12327,1,1496,636,26,5,612,316600
7032,1,943,0,27,4,600,135960
13101,0,1728,0,43,10,576,142600
7332,0,864,0,47,4,288,120000
13159,1,846,846,0,6,650,224500
9967,1,384,656,7,8,400,170000
10500,0,372,533,36,5,288,139000
8480,0,832,384,61,6,336,118500
6292,0,861,600,81,6,216,145000
11777,0,1164,0,40,6,564,164500
3604,1,689,689,1,5,540,146000
12150,0,1050,745,54,7,352,131500
14585,0,1144,0,47,7,572,181900
12704,1,2042,0,1,8,1390,253293
11841,1,816,0,17,5,0,118500
13500,0,1237,1254,115,9,880,325000
6120,0,884,584,74,6,240,133000
11443,1,1868,0,1,7,880,369900
10267,0,816,0,90,5,275,130000
8740,0,840,0,27,4,528,137000
25095,0,1437,0,41,5,452,143000
9100,0,742,0,78,4,308,79500
8320,1,770,812,4,6,520,185900
13478,1,1722,568,1,10,842,451950
6600,0,816,0,26,4,816,138000
4435,1,848,0,6,4,420,140000
7990,1,924,0,33,5,280,110000
11302,1,1814,0,1,7,758,319000
3600,0,684,684,96,7,216,114504
3922,1,1258,0,1,7,648,194201
