LotArea,BsmtQual,TotalBsmtSF,2ndFlrSF,Yearinterval,TotRmsAbvGrd,GarageArea,SalePrice
12984,1,1430,0,29,7,621,217500
1950,1,716,840,28,6,452,151000
10927,1,1058,846,1,8,736,275000
9000,0,780,595,70,6,544,141000
10041,1,908,988,14,8,506,220000
3182,1,600,600,6,4,480,151000
12803,1,1494,0,6,6,530,221000
13600,0,768,800,44,7,486,205000
12464,1,1040,0,13,6,576,152000
7800,0,896,896,58,8,230,225000
12168,1,965,1254,73,10,380,359100
7943,0,1029,0,46,5,261,118500
11050,1,1440,677,9,8,736,313000
10395,1,1032,0,29,6,564,148000
11885,1,1299,573,8,7,531,261500
8402,1,1120,0,0,6,0,147000
1491,1,630,0,38,3,0,75500
8800,0,936,0,47,6,480,137500
7861,1,783,702,4,7,393,183200
7227,0,832,0,54,4,528,105500
11694,1,1822,0,0,9,774,314813
12244,1,1482,780,5,10,749,305000
8248,0,864,0,94,5,0,67000
10800,0,1522,1066,34,9,624,240000
7064,0,980,0,32,6,484,135000
2117,1,756,756,7,4,440,168500
10400,0,732,778,34,8,484,165150
10000,0,1116,0,48,5,440,160000
12342,0,978,0,47,6,286,139900
9600,0,1156,0,55,7,364,153000
11606,1,1040,1040,38,9,504,135000
9020,0,1248,0,44,6,520,168500
9000,0,636,661,126,8,240,124000
4590,1,1554,0,1,6,627,209500
11900,0,1386,0,32,6,544,82500
9250,0,1056,0,53,6,260,139400
6979,0,1056,0,30,4,576,144000
10896,0,1440,1440,93,14,0,200000
6120,0,264,0,73,4,0,60000
6000,0,811,576,55,7,256,93000
8777,0,796,0,98,4,0,85000
3982,1,1520,0,0,7,648,264561
12677,1,1518,0,5,6,588,274000
7050,1,1057,872,6,7,650,226000
13860,1,1952,704,37,9,538,345000
10793,0,780,840,38,7,462,152000
9187,1,1766,0,0,7,478,370878
10530,0,981,0,36,5,576,143250
7200,0,0,0,58,7,420,98300
10452,0,1094,0,55,5,495,155000
7700,0,756,788,44,7,442,155000
1936,1,630,0,37,3,0,84500
8125,1,813,843,1,7,562,205950
9084,0,755,755,69,7,296,108000
8750,1,880,807,13,7,512,191000
10320,0,756,713,102,7,216,135000
10437,1,2109,0,13,7,839,350000
1680,0,525,567,39,6,264,88000
10007,0,1053,0,49,5,312,145500
7200,1,776,651,77,6,270,149000
17503,0,912,546,62,6,330,97500
9937,0,1486,0,45,7,480,167000
12384,1,793,793,31,7,550,197900
46589,1,1629,762,15,8,711,402000
13560,0,1392,0,41,5,576,110000
10012,1,1138,0,36,6,588,137500
20896,1,2077,0,1,8,1134,423000
11194,1,1406,482,6,7,504,230500
18450,1,1021,915,42,7,596,129000
8125,1,1408,0,14,7,575,193500
14175,0,1188,0,50,6,576,168000
11600,0,700,0,84,5,252,137500
8633,1,738,738,4,7,540,173500
6629,0,672,672,84,6,300,103600
11250,1,1208,0,29,6,546,165000
14442,0,1477,0,50,7,416,257500
9200,0,1136,0,43,5,384,140000
2289,0,855,586,31,7,440,148500
9600,0,1095,679,106,8,779,87000
9022,0,768,0,85,5,240,109500
11844,1,2046,0,1,7,834,372500
9945,0,988,0,46,5,572,128500
8012,1,923,0,30,5,264,143000
4500,0,793,672,77,6,281,159434
2887,1,1291,0,12,6,431,173000
11248,1,1626,0,5,7,702,285000
16770,1,1195,644,12,7,486,221000
5062,1,1190,900,23,6,577,207500
10207,1,874,887,0,7,578,227875
5105,1,551,551,3,4,480,148800
8089,1,1419,0,0,7,567,392000
7577,1,1362,0,2,6,460,194700
4426,1,848,0,4,3,420,141000
21535,1,2444,1872,13,10,832,755000
26178,1,1210,1281,17,9,628,335000
5400,0,1073,0,85,4,326,108480
6120,0,927,472,73,5,576,141500
13811,1,1112,0,19,5,551,176000
6000,0,616,0,85,4,205,89000
6420,1,980,0,54,6,308,123500
8450,0,894,0,45,5,336,138500
4282,1,1391,0,4,5,530,196000
14331,1,1800,0,4,7,765,312500
9600,0,1164,0,37,6,528,140000
12438,1,1234,1312,0,10,666,361919
7630,1,360,780,110,8,672,140000
8400,1,1473,0,6,7,606,213000
5600,0,0,720,80,7,0,55000
115149,1,1643,0,36,5,739,302000
6240,1,1324,0,3,6,550,254000
9018,1,728,728,0,8,400,179540
7162,0,876,0,42,6,408,109900
4130,0,270,0,73,5,0,52000
8712,0,859,319,110,7,384,102776
4671,1,1228,0,20,5,472,189000
9873,0,960,0,36,6,576,129000
13517,0,725,754,34,6,475,130500
10140,1,1064,0,35,7,478,165000
10800,0,718,978,117,8,704,159500
10000,1,1176,0,35,5,439,157000
10542,1,1311,1093,15,9,983,341000
9920,1,971,0,37,5,300,128500
6563,1,1742,0,21,5,564,275000
4426,1,848,0,6,3,420,143000
8120,0,864,0,39,5,463,124500
8172,0,941,473,54,7,548,135000
13286,1,1698,0,2,8,768,320000
6960,0,864,0,39,5,660,120500
21695,1,880,0,21,5,540,222000
7314,1,1232,0,2,6,632,194500
11475,0,1584,0,51,9,888,110000
6240,0,780,0,84,5,539,103000
5389,1,1595,0,15,5,608,236500
9590,1,868,0,4,6,438,187500
11404,1,1153,878,10,8,541,222500
10000,0,864,0,48,6,264,131400
8978,0,948,0,39,6,300,108000
10800,1,880,888,92,6,320,163000
8544,0,0,0,56,6,400,93500
10463,1,893,900,1,8,800,239900
10800,1,1200,0,22,5,0,179000
9313,1,864,864,5,7,572,190000
9600,0,264,664,97,7,360,132000
6768,0,912,0,47,5,288,142000
8450,1,1349,0,7,6,539,179000
12886,1,520,0,46,6,480,175000
5395,1,1337,0,15,5,462,180000
8963,0,1142,1540,32,11,831,299800
8795,1,952,1276,9,8,554,236000
11700,0,1240,1320,129,8,864,265979
10593,1,1720,0,14,7,527,260400
8405,0,0,441,64,9,240,98000
8800,0,576,348,100,7,0,96500
7750,1,660,660,4,6,400,162000
9236,1,1479,0,9,6,576,217000
10240,1,1030,1060,1,8,878,275500
7930,0,1026,0,40,5,440,156000
3230,1,729,729,10,6,440,172500
10769,1,866,902,2,7,578,212000
11616,0,672,714,32,6,440,158900
2280,1,744,744,9,6,440,179400
12257,1,1318,1203,12,9,752,290000
9100,0,864,0,50,5,300,127500
6911,0,1145,0,85,5,440,100000
8640,1,756,783,1,7,614,215200
9430,1,1252,1097,10,8,856,337000
9549,1,1494,0,11,6,481,270000
14587,1,1498,0,0,6,592,264132
10421,1,980,734,22,7,496,196500
12508,1,983,767,68,7,423,160000
9100,1,1860,0,2,8,484,216837
53504,1,1650,1589,7,12,841,538000
7252,1,858,0,27,5,576,134900
8877,0,836,0,55,6,396,102000
7819,0,1029,0,34,6,672,107000
10150,0,912,0,49,5,275,114500
14226,1,1935,0,1,9,895,395000
4500,1,1204,0,11,5,412,162000
11210,1,1614,0,1,7,865,221500
13350,0,864,0,32,5,440,142500
8400,0,0,0,30,10,630,144000
10530,1,975,0,29,4,504,135000
7875,1,1237,0,12,6,402,176000
7153,1,761,793,14,7,484,175900
16285,1,1413,0,8,6,605,187100
9101,1,1097,0,31,4,602,165500
6300,0,742,742,94,9,0,128000
9790,0,1372,0,42,7,457,161500
10800,0,686,686,95,7,416,139000
10142,1,956,1128,6,8,618,233000
6000,0,901,0,54,4,281,107900
12205,0,832,1111,41,9,444,187500
3182,1,1145,0,4,5,397,160200
11333,1,1029,0,31,5,539,146800
9920,1,1117,886,11,8,455,269790
9158,1,1496,0,0,7,474,225000
10832,1,712,809,14,7,409,194500
8400,1,650,676,30,7,476,171000
8197,0,660,0,30,7,528,143500
7677,0,773,0,55,4,240,110000
13518,1,1926,1174,1,11,820,485000
7200,1,731,787,70,7,240,175000
12798,1,616,1072,11,8,603,200000
4800,0,1196,0,91,5,440,109900
8199,1,728,728,3,7,410,189000
13891,1,1734,1088,1,12,1020,582933
9000,0,936,0,52,5,286,118000
12274,1,1417,0,0,6,554,227680
9750,0,980,0,39,6,384,135500
21384,0,1324,504,86,6,528,223500
13400,0,1024,0,40,6,484,159950
8100,0,849,1063,111,11,360,106000
10140,0,1040,0,32,5,484,181000
4438,1,848,0,4,4,420,144500
8712,0,540,0,58,4,504,55993
9750,0,1442,0,49,7,301,157900
8248,0,686,564,88,7,280,116000
12137,1,1649,0,12,6,598,224900
11425,0,1008,0,52,4,275,137000
13265,1,1568,0,6,7,857,271000
8816,0,1010,0,39,6,440,155000
6371,1,1358,0,1,6,484,224000
7226,1,798,842,5,6,595,183000
6000,0,936,0,56,4,576,93000
12394,1,847,886,4,7,433,225000
9900,0,778,545,69,7,240,139500
11216,1,1489,0,0,7,776,232600
14803,1,2078,0,1,7,1220,385000
6130,0,784,0,84,5,0,109500
8529,1,1454,0,8,6,527,189000
28698,0,1013,966,42,7,538,185000
2544,1,600,623,1,4,480,147400
11900,0,1392,0,51,6,458,166000
3180,1,600,600,1,4,480,151000
9548,1,941,888,7,7,613,237000
10004,0,1516,0,45,6,472,167000
7875,0,1144,0,47,6,456,139950
9600,1,1067,0,60,4,436,128000
8100,0,1559,0,59,5,812,153500
1680,0,483,504,35,5,264,100000
9525,1,1099,0,13,6,352,144000
11767,0,768,432,62,6,240,130500
12155,0,672,672,83,7,400,140000
10440,0,650,581,104,8,686,157500
9020,0,1127,0,42,6,490,174900
8000,0,1800,0,46,10,0,141000
12665,0,876,540,93,7,720,153900
16647,1,1390,0,32,6,611,171000
9317,1,740,769,16,7,425,213000
15523,0,864,0,37,5,338,133500
45600,0,907,1051,100,10,360,240000
9600,0,528,761,31,7,512,187000
4435,1,848,0,4,3,420,131500
3196,1,1273,0,3,7,400,215000
7128,0,918,728,66,7,240,164000
12095,0,1127,0,45,7,645,158000
17920,0,1763,0,51,6,454,170000
6897,0,1040,0,48,6,260,127000
10970,1,940,0,30,5,576,147000
8125,1,702,779,15,6,343,174000
10400,1,1090,0,33,6,479,152000
11029,0,1054,1142,38,9,619,250000
7642,0,912,514,89,7,216,189950
11625,0,1039,0,45,6,504,131500
9672,1,1040,0,26,6,480,152000
7931,0,1148,0,50,6,672,132500
8640,1,1372,0,1,6,529,250580
8750,0,1002,0,39,5,902,148500
10656,1,1638,0,1,6,870,248900
6970,0,1040,0,46,5,544,129000
14762,0,0,720,58,7,672,169000
9938,1,1050,887,17,8,574,236000
6600,0,894,0,47,5,308,109500
8750,1,804,878,12,7,523,200500
8892,0,105,0,55,5,414,116000
12144,0,832,0,60,6,288,133000
5720,0,676,455,68,5,200,66500
9000,1,1184,1426,0,11,550,303477
25286,0,1064,0,44,5,648,132250
8834,1,1462,762,5,10,738,350000
11782,0,1109,0,49,6,576,148000
7000,0,864,0,31,6,336,136500
7024,1,1090,0,2,5,450,157000
13758,1,1156,530,17,7,400,187500
9636,1,808,785,17,7,389,178000
6204,0,795,795,94,10,440,118500
7150,0,892,0,42,5,288,100000
5119,1,1698,0,9,5,506,328900
8393,0,1626,0,47,8,588,145000
16466,0,816,521,53,8,300,135500
15865,0,2217,0,37,8,621,268000
12160,0,1505,0,56,6,505,149500
8064,0,672,252,58,6,576,122900
11184,0,918,765,31,7,440,172500
8414,0,1059,0,43,6,264,154500
13284,1,1383,0,54,6,354,165000
7018,0,0,0,30,8,400,118858
7056,0,780,813,45,8,483,140000
8765,0,951,0,70,6,327,106500
7018,0,0,1120,30,12,528,142953
12919,1,2330,0,1,11,820,611657
6993,0,912,0,45,6,288,135000
7340,0,858,0,36,4,684,110000
8712,0,992,0,52,5,756,153000
7875,1,783,702,3,8,393,180000
14859,1,1670,0,0,7,690,240000
6173,0,876,0,40,6,288,125500
9920,0,1056,0,56,6,280,128000
13501,1,1623,0,1,8,865,255000
11500,1,1017,1037,70,6,180,250000
8885,1,864,0,23,5,484,131000
12589,1,742,742,4,8,390,174000
11600,0,1105,1169,50,12,480,154300
9286,1,1268,0,32,5,252,143500
6120,0,768,0,81,6,450,88000
6270,0,1001,1001,58,8,871,145000
3000,1,612,612,0,4,528,173733
2001,0,546,546,37,6,286,75000
9000,0,480,0,57,4,308,35311
17140,0,1134,0,53,6,284,135000
13125,1,1104,1215,16,8,833,238000
11029,1,1184,0,50,6,601,176500
8462,1,928,785,13,7,471,201000
8777,0,1272,928,108,9,0,145900
10237,1,1316,0,1,6,397,169990
8012,1,1604,0,15,5,533,193000
10240,1,1686,0,26,7,612,207500
15611,1,1126,0,31,6,540,175000
11999,1,1181,1140,4,10,656,285000
9900,0,832,880,40,9,486,176000
11838,1,1753,0,8,7,522,236500
13006,1,964,1243,9,8,642,222000
8925,1,1466,0,2,7,610,201000
9100,0,925,0,44,5,429,117500
11670,1,1905,0,1,8,788,320000
8487,1,1500,0,5,6,570,190000
27650,1,585,0,48,9,505,242000
5825,0,600,0,80,5,528,79900
10083,1,1176,0,6,5,555,184900
9675,1,1113,858,4,8,689,253000
8760,1,1391,571,0,7,868,239799
24090,0,1032,1196,70,10,349,244400
12640,0,1728,0,30,8,574,150900
8755,1,992,1038,10,8,390,214000
7711,1,1440,0,30,8,0,150000
25000,0,1632,0,40,8,576,143000
14375,0,819,0,51,7,525,137500
8820,0,1088,561,119,7,456,124900
8163,0,1144,0,47,6,796,143000
14536,1,1616,0,5,9,808,270000
14006,1,936,840,4,7,474,192500
9360,0,1161,0,38,5,676,197500
7200,0,864,0,57,5,720,129000
7800,0,828,0,41,6,300,119900
7200,1,768,0,37,5,396,133900
11075,0,784,800,39,7,530,172000
9400,1,945,0,31,4,0,127500
7136,1,979,979,61,8,492,145000
1300,1,561,668,29,5,462,124000
7420,0,1057,0,45,6,576,132000
8450,1,1337,0,4,6,531,185000
2572,1,696,720,11,6,484,155000
7207,0,858,0,52,4,0,116500
12227,1,1330,1330,31,11,619,272000
2308,1,804,744,31,7,440,155000
11923,1,1800,0,2,7,702,239000
11316,1,817,1070,8,8,510,214900
10237,1,783,701,2,8,393,178900
9600,0,728,332,69,7,256,160000
7390,0,1098,0,53,6,260,135000
5925,0,600,368,99,6,0,37900
10382,0,588,0,48,6,264,140000
10800,0,720,472,57,6,0,135000
2268,1,764,862,6,6,474,173000
7892,1,918,0,31,5,264,99500
11639,1,1428,0,1,6,480,182000
11414,1,728,883,99,8,532,167500
2651,1,673,709,6,6,490,165000
5900,1,440,0,83,4,0,85500
4274,1,1241,0,1,4,569,199900
9450,0,894,0,53,5,400,110000
8816,0,1121,0,46,5,480,139000
12122,0,944,0,47,6,588,178400
12203,1,1225,1336,11,8,676,336000
3182,1,1266,0,1,6,388,159895
11250,1,1128,1141,6,9,779,255900
10125,0,0,432,32,8,539,126000
10880,0,1164,0,58,5,240,125000
5310,0,485,634,96,5,255,117000
10159,1,1930,0,1,8,606,395192
12046,0,848,912,31,8,551,195000
8125,1,770,798,0,6,614,197000
9452,1,1396,985,9,7,870,348000
17671,0,916,826,127,8,424,168000
9760,0,822,831,43,7,440,187000
8846,1,750,750,1,6,564,173900
12456,1,1700,0,3,7,786,337500
4712,0,747,456,60,5,305,121600
10659,0,1050,0,45,6,368,136500
11717,0,1442,0,39,6,615,185000
9786,0,1007,0,84,6,210,91000
6762,1,1187,0,4,6,632,206000
10206,0,0,0,57,4,528,82000
5400,0,691,0,87,4,216,86000
11957,1,1574,0,2,7,824,232000
11500,0,1680,0,31,8,528,136905
3182,1,1346,0,4,7,457,181000
8385,1,985,0,31,6,328,149900
12155,1,1657,0,37,7,484,163500
2217,0,546,546,39,6,286,88000
12118,1,1710,0,5,7,550,240000
6000,0,1008,0,80,7,0,102000
21286,0,720,551,60,7,312,135000
9825,0,0,0,45,8,0,100000
10592,0,602,602,84,7,180,165000
7200,0,1022,0,99,4,280,85000
11664,0,1082,0,59,5,240,119200
8400,1,810,855,8,6,528,227000
11883,1,1504,0,13,6,478,203000
5814,1,1220,0,25,4,565,187500
10784,1,384,670,16,7,402,160000
3013,1,1362,0,1,6,440,213490
7024,1,1132,0,3,5,451,176000
7406,1,1199,0,0,6,632,194000
9439,0,912,336,77,6,160,87000
3182,1,1346,0,3,7,437,191000
15498,1,1565,0,32,10,665,287000
7700,0,882,0,35,5,461,112500
9300,0,1268,0,50,6,461,167500
9520,1,1638,0,1,7,800,293077
9492,0,768,408,66,6,240,105000
1680,0,672,546,34,7,264,118000
7082,0,686,980,90,10,0,160000
15863,0,824,998,89,12,672,197000
14541,1,1338,1168,13,10,796,310000
8125,1,1654,0,4,6,900,230000
6305,0,920,0,69,5,240,119750
11500,0,0,0,52,5,290,84000
12898,1,1620,0,2,6,912,315500
9240,1,1055,1208,7,7,905,287000
1533,0,546,546,39,6,0,97000
1477,1,630,0,39,3,286,80000
13125,0,1134,0,49,8,484,155000
9130,0,800,832,42,7,484,173000
5381,1,1306,0,4,5,624,196000
11839,1,1475,797,18,10,514,262280
9600,1,2524,0,28,9,542,278000
13680,0,0,0,54,8,452,139600
16056,1,1992,876,1,11,716,556581
9245,1,990,0,14,5,672,145000
21750,0,0,0,49,9,336,115000
11100,0,0,0,64,6,308,84900
8993,1,1302,0,0,6,436,176485
11175,1,1316,0,0,6,440,200141
9500,0,816,850,43,9,540,165000
8562,0,1216,0,53,7,364,144500
11367,1,1065,898,4,7,586,255000
11361,1,1193,0,32,7,478,180000
7052,1,1364,0,1,6,484,185850
29959,1,973,871,15,7,467,248000
11308,1,1104,1054,1,10,836,335000
11275,0,854,895,75,7,432,220000
4920,1,1338,0,9,6,582,213500
18000,0,894,0,73,6,1248,81000
13600,0,662,915,107,10,560,90000
6000,0,1103,0,81,5,440,110500
11000,0,1154,0,43,6,480,154000
14000,1,1306,954,14,7,533,328000
7837,1,799,772,16,7,380,178000
9760,0,780,813,44,7,442,167900
3964,1,942,1230,33,10,576,151400
9600,0,845,0,58,4,576,135000
10152,0,1048,0,51,6,286,135000
11700,0,727,727,41,8,441,154000
7585,0,810,454,58,7,280,91500
7950,0,690,728,32,6,440,159500
8556,1,1240,0,1,5,826,194000
13125,0,800,780,67,6,240,219500
10800,0,796,370,70,7,566,170000
15870,0,1096,0,37,6,299,138800
4435,1,848,0,2,3,420,155900
8775,1,990,0,13,5,299,126000
11040,0,1258,0,37,5,528,145000
7500,0,1040,0,47,5,308,133000
8749,1,1459,0,5,6,527,192000
8800,0,1251,0,42,6,461,160000
13031,1,691,807,11,6,409,187500
9069,1,936,0,18,5,564,147000
1974,0,546,546,37,6,286,83500
10574,1,1082,871,4,9,1043,252000
2522,1,970,739,2,7,380,137500
3316,1,1247,0,1,4,550,197000
8544,0,0,0,59,6,400,92900
2160,1,600,628,9,4,462,160000
8400,0,1181,304,83,7,576,136500
9230,0,864,0,41,6,884,146000
5868,0,936,0,54,4,308,129000
9317,1,1314,0,1,6,440,176432
6882,0,684,582,93,7,0,127000
3696,1,1074,0,21,5,461,170000
6000,0,672,567,73,6,240,128000
11880,1,1271,0,31,7,478,157000
8400,0,290,0,89,3,246,60000
9758,0,950,0,36,5,280,119500
7000,0,1010,0,47,6,254,135000
8910,0,655,0,47,6,539,159500
2016,0,630,672,37,6,440,106000
12256,1,1463,1122,16,9,712,325000
10357,1,910,0,17,6,719,179900
23257,1,868,1134,0,9,422,274725
8063,1,924,742,7,7,463,181000
11362,1,1836,0,5,7,862,280000
8000,1,773,885,13,8,431,188000
10480,0,803,866,32,8,483,205000
7100,0,816,0,49,5,308,129900
8923,0,1008,0,54,6,240,134500
5400,0,833,0,52,4,326,117000
12085,1,1734,0,0,7,928,318000
7750,1,408,640,7,7,527,184100
9764,0,894,0,41,5,450,130000
13825,0,533,580,50,6,300,140000
7560,0,1040,0,47,6,286,133700
8263,0,1012,0,87,6,308,118400
10084,1,1552,0,1,7,782,212900
8926,0,672,0,53,5,288,112000
9405,0,698,0,62,4,0,118000
9125,1,384,670,15,7,392,163900
10434,0,1005,0,54,5,672,115000
3684,1,1373,0,2,7,660,174000
14572,1,1530,0,3,7,630,259000
11796,1,847,1112,3,8,434,215000
7200,1,936,0,27,4,672,140000
7804,0,1122,653,81,7,576,135000
10712,1,974,0,16,5,0,93500
9900,0,1008,1032,127,8,205,117500
9828,1,1128,878,14,8,466,239500
8773,1,916,684,10,7,460,169000
6180,0,960,0,81,5,180,102000
9600,0,1032,220,58,6,288,119000
6342,0,780,240,135,6,0,94000
9819,0,1567,0,32,5,714,196000
8731,0,915,0,87,6,495,144000
7350,0,952,0,57,4,840,139000
10304,0,780,780,33,9,484,197500
9965,1,1466,1362,1,11,1052,424870
9000,0,1006,0,49,5,0,80000
12180,1,672,252,69,5,280,80000
6240,0,1042,534,78,8,225,149000
11200,1,1298,0,21,5,403,180000
12000,0,704,704,68,7,234,174500
5700,0,572,539,82,5,288,116900
9000,0,650,650,89,7,324,143000
8280,0,932,0,57,4,306,124000
17755,0,1466,0,47,6,528,149900
14115,0,1073,0,50,6,470,230000
5890,0,816,0,78,5,432,120500
13700,0,864,918,43,8,492,201800
10768,1,1437,0,31,6,528,218000
9350,0,1219,0,43,6,502,179900
5001,1,1314,0,2,6,626,230000
11932,1,1580,0,1,7,830,235128
9120,0,901,933,34,8,540,185000
2280,1,855,601,32,7,440,146000
14778,0,1296,0,54,7,924,224000
8724,1,894,0,39,5,450,129000
12900,1,1198,0,39,6,400,108959
16157,1,1360,0,29,5,588,194000
9541,1,1502,0,0,7,644,233170
10475,1,1694,0,2,7,776,245350
10852,1,959,712,6,7,472,173000
13728,0,1127,872,73,7,540,235000
35760,1,1930,1796,11,10,807,625000
9880,0,1096,0,31,6,358,171000
9120,0,1261,0,50,6,433,163000
4017,1,625,625,2,5,625,171900
18030,0,1598,971,61,12,0,200500
16560,1,952,1175,74,9,360,239000
10678,1,1683,743,15,9,541,285000
6951,0,876,0,24,5,264,119500
3950,0,818,406,83,5,210,115000
7681,0,731,523,88,7,186,154900
8335,0,0,0,52,5,0,93000
11170,1,1216,1216,16,8,693,250000
5587,1,1600,0,0,5,482,392500
15623,1,2396,2065,11,10,813,745000
10800,0,1120,0,86,5,720,120000
35133,0,1572,0,44,5,995,186700
9738,0,784,272,82,7,392,104900
10615,0,978,685,109,7,420,95000
12461,1,1624,0,12,5,757,262000
8935,1,831,829,7,7,493,195000
7500,0,994,776,11,7,442,189000
32463,0,1249,0,46,7,1356,168000
2645,1,776,677,8,5,492,174000
9600,0,702,630,82,6,250,125000
4500,1,1224,0,10,5,402,165000
9364,0,663,689,41,7,299,158000
8029,1,728,728,3,8,400,176000
14054,1,879,984,0,9,660,219210
8850,0,815,875,90,7,225,144000
9100,1,1212,0,8,6,573,178000
11235,0,1051,0,43,6,459,148000
